;algas;bahiagas;esgas;cebgas;ceg;ceg_rio;cegas;cigas;comgas;compagas;copergas;gas_brasiliano;gasmig;gaspisa;mtgas;msgas;pbgas;potigas;naturgy_sp;scgas;sergas;sulgas;goiasgas;gasmar;total
01/01/2010;0,45;3,65;1,76;0,01;4,98;3,7;0,66;0;11,77;0,85;0,97;0,53;1,69;0;0;0,17;0,35;0,37;1,4;1,53;0,25;1,3;0;0;36,4
01/02/2010;0,47;3,6;1,92;0,01;7,08;4,67;0,67;0;12,68;0,9;1;0,52;1,99;0;0,01;0,58;0,37;0,39;1,41;1,64;0,27;1,33;0;0;41,49
01/03/2010;0,51;3,59;0,8;0,01;6,57;4,48;0,43;0;12,87;0,99;1,02;0,51;1,89;0;0,01;0,31;0,38;0,4;1,49;1,72;0,26;1,38;0;0;39,61
01/04/2010;0,49;3,59;1,87;0,01;5,93;3,03;0,65;0;12,66;0,99;2,54;0,51;1,84;0;0,01;0,44;0,37;0,38;1,42;1,75;0,25;1,43;0;0;40,15
01/05/2010;0,47;3,44;1,73;0,01;7,68;4,23;1,24;0;12,99;0,95;2,34;0,66;2,45;0;0;0,23;0,36;0,38;1,5;1,77;0,26;1,48;0;0;44,19
01/06/2010;0,46;3,83;1,92;0,01;7,61;6,28;1,93;0;13,87;1,04;3,04;0,73;2,6;0;0;0,5;0,37;0,4;1,48;1,8;0,26;1,57;0;0;49,71
01/07/2010;0,48;3,96;2,16;0,01;7,28;5,91;1,93;0;13,09;1,01;3,12;0,76;2,84;0;0,01;0,22;0,39;0,41;1,47;1,82;0,28;1,53;0;0;48,67
01/08/2010;0,5;3,57;2,35;0,01;10,71;9,01;1,67;0;14,49;3,05;2,92;0,82;3,28;0;0,01;0,72;0,38;0,41;1,54;1,81;0,28;1,59;0;0;59,11
01/09/2010;0,51;3,82;2,5;0,01;10,88;9,75;1,97;0;15,02;3,06;3,22;0,82;3,41;0;0,01;1,81;0,38;0,4;1,45;1,8;0,29;1,69;0;0;62,77
01/10/2010;0,5;3,7;2,74;0,01;10,98;6,61;1,98;0;15,3;3,02;2,86;0,73;3,18;0;0,01;2,1;0,37;0,4;1,48;1,78;0,28;1,72;0;0;59,77
01/11/2010;0,46;3,33;2,92;0,01;12,01;8,93;1,98;0,51;14,13;2,86;2,96;0,62;3,46;0;0,01;2,41;0,37;0,4;1,49;1,78;0,28;1,48;0;0;62,41
01/12/2010;0,4;3,99;2,95;0,01;10,6;6,21;1,4;0,46;12,54;1,66;2,1;0,55;2,91;0;0,01;0,8;0,36;0,37;1,37;1,7;0,27;1,36;0;0;52,02
01/01/2011;0,42;3,85;2,75;0,01;7,45;3,71;0,41;0,5;12,4;1,29;1,59;0,54;2,59;0;0,01;0,18;0,32;0,34;1,42;1,72;0,26;1,35;0;0;43,1
01/02/2011;0,31;3,77;3,6;0,01;7,43;5,11;0,46;0,92;14,08;0,95;1,24;0,54;2,84;0;0,01;0,3;0,37;0,41;1,5;1,84;0,26;1,54;0;0;47,5
01/03/2011;0,47;3,96;2,61;0,01;7,06;3,38;0,44;1,05;13,49;0,96;1,67;0,6;2,96;0;0,01;0,19;0,35;0,4;1,45;1,85;0,24;1,74;0;0;44,9
01/04/2011;0,39;3,81;3,11;0,01;6,91;2,25;0,42;1,37;13,49;1,01;1,04;0,58;2,92;0;0;0,22;0,34;0,4;1,32;1,83;0,24;1,78;0;0;43,45
01/05/2011;0,43;3,83;2,89;0,01;7,31;2,6;1,21;1,58;13,26;1,09;3,11;0,69;2,95;0;0,01;0,2;0,34;0,41;1,4;1,86;0,25;1,98;0;0;47,42
01/06/2011;0,43;3,98;2,99;0,01;6,78;4,67;1,32;1,95;13,59;1,07;3,05;0,83;3,16;0;0,01;0,2;0,35;0,41;1,37;1,86;0,27;1,94;0;0;50,23
01/07/2011;0,47;3,98;2,75;0,01;6,29;4,59;1,38;2,15;13,3;1,08;3,13;0,88;2,94;0;0,01;0,29;0,34;0,4;1,42;1,85;0,28;2,01;0;0;49,56
01/08/2011;0,48;3,71;2,94;0,01;6,35;5,04;0,48;2,48;13,38;1,08;2,37;0,9;3,05;0;0,01;0,31;0,35;0,38;1,49;1,89;0,28;1,95;0;0;48,93
01/09/2011;0,45;3,53;2,99;0,01;6,07;4,58;0,86;2,53;13,48;1,07;2,09;0,93;3,09;0;0,01;0,26;0,36;0,38;1,44;1,86;0,28;1,95;0;0;48,23
01/10/2011;0,49;3,77;2,79;0,01;6,01;5,23;2,01;2,25;13,33;1,06;2,94;0,86;2,78;0;0,01;0,24;0,35;0,38;1,5;1,88;0,28;1,72;0;0;49,89
01/11/2011;0,5;3,95;2,67;0,01;5,95;5,2;2,01;2,18;13,26;1,02;3,1;0,96;2,85;0;0,01;0,26;0,37;0,39;1,51;1,87;0,28;1,8;0;0;50,15
01/12/2011;0,48;3,95;2,8;0,01;5,99;5,44;1,9;2,27;12;0,92;3;1,01;2,74;0;0,01;0,25;0,35;0,35;1,41;1,72;0,25;1,77;0;0;48,62
01/01/2012;0,5;3,83;2,65;0,01;5,57;4,11;0,42;2,09;12,51;0,89;2,09;1,04;2,97;0;0,01;0,32;0,36;0,37;1,39;1,71;0,25;1,57;0;0;44,66
01/02/2012;0,53;3,76;2,92;0,01;6,52;5,2;0,41;2,23;13,47;0,99;3;0,9;3,14;0;0,01;0,34;0,36;0,38;1,38;1,79;0,26;1,69;0;0;49,29
01/03/2012;0,51;3,72;2,71;0,01;7,7;5,75;1;2,38;13,63;2,36;1,85;0,73;3,57;0;0,01;0,28;0,36;0,38;1,37;1,83;0,27;1,74;0;0;52,17
01/04/2012;0,5;3,7;2,85;0,01;9,86;7,03;1,02;2,58;15,38;3,12;1,15;0,73;4,03;0;0,01;1,51;0,35;0,36;1,39;1,86;0,27;1,74;0;0;59,45
01/05/2012;0,5;3,91;3,52;0,01;9,34;4,88;1,98;2,4;15,2;2,94;2,8;0,76;3,4;0;0,01;1,25;0,35;0,36;1,37;1,9;0,27;1,85;0;0;59
01/06/2012;0,53;4,07;3,3;0,01;8,54;5,4;1,1;2,35;13,85;1,24;2,45;0,83;3,24;0;0,01;0,6;0,37;0,35;1,23;1,86;0,26;1,86;0;0;53,44
01/07/2012;0,58;3,89;2,75;0,01;6,5;5,31;0,43;2,2;13,23;1,36;1,7;0,82;3,02;0;0,01;0,35;0,36;0,36;1,34;1,92;0,28;1,76;0;0;48,19
01/08/2012;0,6;3,68;2,93;0,01;6,97;4,8;1,01;2,22;13,41;1,51;2,04;0,83;3,53;0;0,01;0,18;0,36;0,36;1,38;1,91;0,3;1,79;0;0;49,82
01/09/2012;0,57;3,71;2,87;0,01;10,49;7,22;1,94;2,65;15,61;3,04;3,17;0,83;4,32;0;0,01;1,19;0,36;0,33;1,46;1,89;0,3;1,89;0;0;63,87
01/10/2012;0,54;3,55;3,27;0,01;11,53;9,92;1,94;2,7;16,21;2,96;2,96;0,83;3,96;0;0,01;1,94;0,37;0,34;1,4;1,89;0,29;2,03;0;0;68,64
01/11/2012;0,56;3,54;3,67;0,01;13,07;10,55;1,87;2,86;15,85;3,2;3,12;0,82;4,3;0;0,01;1,97;0,37;0,32;1,37;1,9;0,29;1,86;0;0;71,54
01/12/2012;0,56;3,57;3,26;0,01;11,71;8,94;1,95;2,84;14,54;3,09;2,87;0,82;3,96;0;0,01;1,99;0,36;0,27;1,14;1,63;0,29;1,72;0;0;65,53
01/01/2013;0,57;4,3;2,97;0,01;10,87;11,17;2,01;2,47;15,34;2,84;3,19;0,88;4,24;0;0,01;2,35;0,35;0,3;1,22;1,68;0,27;1,8;0;0;68,86
01/02/2013;0,6;4,54;2,91;0,01;12,06;10,36;1,97;2,48;15,39;3,11;3,07;0,86;4,13;0;0,02;2,76;0,34;0,3;1,35;1,78;0,28;2,67;0;0;70,98
