data;algas;bahiagas;esgas;cebgas;ceg;ceg_rio;cegas;cigas;comgas;compagas;copergas;gas_brasiliano;gasmig;gaspisa;mtgas;msgas;pbgas;potigas;naturgy_sp;scgas;sergas;sulgas;goiasgas;gasmar;total
01/12/2010;0,4;3,99;2,95;0,01;5;1,96;0,41;0;11,74;0,83;0,98;0,55;2,33;0;0,01;0,23;0,36;0,37;1,37;1,7;0,27;1,36;0;0;36,82
01/01/2011;0,42;3,85;2,71;0,01;4,6;2,04;0,41;0;12,25;0,79;0,97;0,54;2,59;0;0,01;0,18;0,32;0,34;1,42;1,72;0,26;1,35;0;0;36,8
01/02/2011;0,31;3,77;3,08;0,01;4,97;2,22;0,46;0;13,17;0,95;1;0,54;2,75;0;0,01;0,2;0,37;0,41;1,5;1,84;0,26;1,54;0;0;39,35
01/03/2011;0,47;3,96;2,61;0,01;4,84;2,16;0,44;0;13,23;0,96;0,95;0,6;2,89;0;0,01;0,19;0,35;0,4;1,45;1,85;0,24;1,74;0;0;39,34
01/04/2011;0,39;3,81;3,11;0,01;4,88;2,15;0,42;0;13,3;1,01;0,97;0,58;2,92;0;0;0,19;0,34;0,4;1,32;1,83;0,24;1,78;0;0;39,67
01/05/2011;0,43;3,83;2,89;0,01;5,03;2,47;0,46;0;13,25;1,08;1;0,69;2,95;0;0,01;0,19;0,34;0,41;1,4;1,86;0,25;1,98;0;0;40,53
01/06/2011;0,43;3,98;2,99;0,01;4,92;2,3;0,47;0;13,58;1,07;1,02;0,83;2,93;0;0,01;0,2;0,35;0,41;1,37;1,86;0,27;1,94;0;0;40,93
01/07/2011;0,47;3,98;2,75;0,01;4,74;2,18;0,47;0;13,28;1,08;1,04;0,88;2,79;0;0,01;0,29;0,34;0,4;1,42;1,85;0,28;2,01;0;0;40,29
01/08/2011;0,48;3,71;2,94;0,01;4,9;2,28;0,48;0;13,38;1,08;1,04;0,9;3,05;0;0,01;0,31;0,35;0,38;1,49;1,89;0,28;1,95;0;0;40,91
01/09/2011;0,45;3,5;2,99;0,01;4,9;2,07;0,49;0;13,48;1,07;1,02;0,93;2,94;0;0,01;0,26;0,36;0,38;1,44;1,86;0,28;1,95;0;0;40,4
01/10/2011;0,49;3,68;2,79;0,01;4,91;2,19;0,48;0;13,17;1,06;0,99;0,86;2,72;0;0,01;0,24;0,35;0,38;1,5;1,88;0,28;1,72;0;0;39,72
01/11/2011;0,5;3,94;2,67;0,01;4,74;2,34;0,48;0;13,08;1,02;1,03;0,96;2,81;0;0,01;0,26;0,37;0,39;1,51;1,87;0,28;1,8;0;0;40,09
01/12/2011;0,48;3,94;2,8;0,01;4,9;2,18;0,42;0;12;0,92;1;1,01;2,72;0;0,01;0,25;0,35;0,35;1,41;1,72;0,25;1,77;0;0;38,49
01/01/2012;0,5;3,8;2,65;0,01;4,57;2,05;0,42;0,01;12,5;0,89;0,98;1,04;2,96;0;0,01;0,23;0,36;0,37;1,39;1,71;0,25;1,57;0;0;38,28
01/02/2012;0,53;3,76;2,92;0,01;4,51;2,41;0,41;0,01;13,25;0,99;1;0,9;2,97;0;0,01;0,19;0,36;0,38;1,38;1,79;0,26;1,69;0;0;39,73
01/03/2012;0,51;3,71;2,71;0,01;4,75;2,33;0,43;0,01;12,79;1;1,04;0,73;2,83;0;0,01;0,2;0,36;0,38;1,37;1,83;0,27;1,74;0;0;39,03
01/04/2012;0,5;3,7;2,84;0,01;4,54;2,24;0,42;0,01;12,7;1,04;1;0,73;2,77;0;0,01;0,18;0,35;0,36;1,39;1,86;0,27;1,74;0;0;38,67
01/05/2012;0,5;3,91;2,52;0,01;4,79;2,27;0,45;0,01;13,29;1,07;1,01;0,76;2,77;0;0,01;0,23;0,35;0,36;1,37;1,9;0,27;1,85;0;0;39,69
01/06/2012;0,53;4,07;2,76;0,01;4,63;2,1;0,43;0,01;13,08;1,03;1,01;0,83;2,83;0;0,01;0,16;0,37;0,35;1,23;1,86;0,26;1,85;0;0;39,41
01/07/2012;0,58;3,89;2,75;0,01;4,68;2,25;0,43;0,02;13,22;1,07;0,99;0,82;2,87;0;0,01;0,23;0,36;0,36;1,34;1,92;0,28;1,76;0;0;39,84
01/08/2012;0,6;3,68;2,93;0,01;4,73;1,96;0,45;0,02;13,33;1,05;1,06;0,83;3,25;0;0,01;0,16;0,36;0,36;1,38;1,91;0,3;1,79;0;0;40,15
01/09/2012;0,57;3,69;2,87;0,01;4,76;2,11;0,42;0,02;13,2;1,06;1,14;0,83;3,12;0;0,01;0,18;0,36;0,33;1,46;1,89;0,3;1,89;0;0;40,22
01/10/2012;0,54;3,54;2,79;0,01;4,37;2,12;0,44;0,03;13,37;1,06;1,18;0,83;2,71;0;0,01;0,19;0,37;0,34;1,4;1,89;0,29;2,03;0;0;39,51
01/11/2012;0,56;3,54;2,61;0,01;4,33;2,18;0,45;0,03;13,05;1,07;1,07;0,82;2,85;0;0,01;0,2;0,37;0,32;1,37;1,9;0,29;1,86;0;0;38,91
01/12/2012;0,56;3,56;2,2;0,01;4,47;1,95;0,41;0,03;11,81;0,93;1,06;0,82;2,58;0;0,01;0,2;0,36;0,27;1,14;1,63;0,29;1,72;0;0;36,02
01/01/2013;0,57;3,41;1,9;0,01;2,72;2,39;0,46;0,02;12,54;0,87;1,09;0,88;2,77;0;0,01;0,21;0,35;0,3;1,22;1,68;0,27;1,8;0;0;35,46
